,autor,edicao,link,resumo,tipo_trabalho,titulo
1006,,,https://rebep.org.br/revista/article/view/565,,,
1007,,,https://rebep.org.br/revista/article/view/566,,,
1008,"
								Alicia M. Bercovich
							","
				v. 6 n. 1 (1989)
			",https://rebep.org.br/revista/article/view/567,"
					Estuda-se a evolução da fecundidade da população negra no Brasil no período compreendido entre 1940 a 1984. Incorporam-se nesta análise novos elementos e técnicas para reconstrução da evolução da fecundidade geral no período, como também estimativas de fecundidade marital. Isso permite, separar, parcialmente, a influência da idade à primeira união e o celibato nas estimativas de fecundidade elaborando hipóteses sobre controle voluntário do número de filhos e esterilidade nos diversos grupos étnicos. Ao trabalhar com categorias sócio-ocupacionais e níveis educacionais, observa-se que a fecundidade marital é mais ou menos sensível a mudanças de grupo social dependendo da cor dos cônjuges. Isto leva a retornar uma questão antiga no Brasil: em que medida são somente os fatores sócio-econômicos responsáveis pelas diferenças observadas nos indicadores demográficos, ou estas persistiriam ainda para grupos sócio-economicamente homogêneos? Somam-se argumentos em favor desta última posição para o caso da fecundidade.
				","
									Artigos originais
						","
		Considerações sobre a fecundidade da população negra no Brasil
	"
1009,"
								Paulo Paiva
							","
				v. 6 n. 1 (1989)
			",https://rebep.org.br/revista/article/view/568,,"
									Resenha
						","
		Demos, carta demográfica sobre o México, 1988
	"
1010,"
								Hélio Moura
							","
				v. 6 n. 1 (1989)
			",https://rebep.org.br/revista/article/view/569,,"
									Resenha
						","
		Princípios e métodos de análise da demografia portuguesa
	"
1011,"
								Eni de Mesquita Samara
							","
				v. 6 n. 1 (1989)
			",https://rebep.org.br/revista/article/view/570,,"
									Notas de pesquisa
						","
		Estatísticas históricas para estudos de população: o acervo do arquivo público estadual do Ceará
	"
1012,"
								Maria Silvia C. Beozzo Bassanezi
							",,,,,
1013,"
								Nelson Hideiki Nozoe
							",,,,,
1014,"
								Luiz Antonio de Castro Santos
							","
				v. 6 n. 1 (1989)
			",https://rebep.org.br/revista/article/view/571,,"
									Notas de pesquisa
						","
		A fundação Rockefeller e o estado nacional (história e política de uma missão médica e sanitária no Brasil)
	"
1015,"
								Cláudio Caetano Machado
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/572,"
					Através de análises da amostra de 25% de Censo Demográfico de 1980 referentes a Minas Gerais, São Paulo, Centro-Oeste e Rondônia, procura-se responder algumas perguntas importantes para os usuários da informação sobre a migração que até agora não foram respondidas por causa das dificuldades operacionais do processamento desta amostra. Avalia-se a importância dos fluxos intermunicipais de migração por classe de tamanho e espacialmente o número de fluxos não-nulos. Em seguida estima-se o número de fluxos com origem desconhecida e a importância da migração de retorno, de nativos do município. Demonstra-se como uma desagregação dos migrantes intramunicipais por idade e tempo de residência no município pode ser útil em estimar quantos destes movimentos aconteceram na última década. Com base na experiência desta análise são feitas algumas sugestões para o Censo de 1990.
				","
									Artigos originais
						","
		Uma análise exploratória da informação sobre a migração inter e intramunicipal no censo demográfico de 1980
	"
1016,"
								Raph Hakkert
							",,,,,
1017,"
								Maria Isabel Baltar da Rocha
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/573,"
					Objetiva-se analisar aspectos do processo político referente às decisões do Poder Público face às questões do controle da natalidade e do planejamento familiar no Brasil. Examinam-se a década de 70 e os anos de 80, detendo-se inicialmente no último período. Nesta ocasião, foi instituída uma nova diretriz concernente à política de saúde, que contempla os problemas da reprodução humana e da saúde da mulher e, no bojo destes, o planejamento familiar. Considera-se, portanto, que predominou, neste contexto, a resolução de uma política de saúde que atende ao planejamento familiar, e não uma política demográfica visando o controle da natalidade. Discute-se, entretanto, a estabilidade desta decisão governamental, a partir da constatação da existência de forças políticas e sociais que têm exercido grande pressão para que seja criada, no País, uma política populacional de cunho controlista. Finalmente, procura-se esclarecer como a questão se desenvolveu na década de 70, no intuito de apreender o processo que acabou por desencadear as decisões do Poder Público, em relação ao assunto, nos anos 80. Para tanto, é feita uma breve análise retrospectiva do tema, situando o cenário em que este evolui, bem como examinando principalmente a posição do governo brasileiro e de atores sociais envolvidos com esta problemática.
				","
									Artigos originais
						","
		População, reprodução e saúde: anotações sobre a questão de uma política social
	"
1018,"
								Neide L. Patarra
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/574,"
					Pretende-se relacionar as etapas da transição demográfica às etapas de desenvolvimento sócio-econômico, na cidade de São Paulo, de 1900 até hoje. As defasagens entre essas duas ordens de fenômenos conduzem à discussão sobre as mediações necessárias ao entendimento das transformações demográficas; a família constitui uma das mediações significativas, a qual tende a se configurar em diferentes tipos para distintos grupos sociais, ao longo do período. Além disso, busca-se discutir o papel da migração internacional e interna na configuração dessa tipologia, passando pela inserção dos membros da família nas relações de produção bem como pelas ideologias e dimensões culturais que emolduram o papel da mulher e dos filhos. Tenta-se comparar este caso com outras situações de transição para o capitalismo.
				","
									Artigos originais
						","
		Família na transição demográfica: o caso de São Paulo
	"
1019,"
								Rosana Baeninger
							",,,,,
1020,"
								Sérgio Odilon Nadalin
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/575,"
					Tendo como ponto de partida a observação de famílias luteranas de origem alemã reconstituídas pelo método Fleury-Henry, foram evidenciadas frequências de concepções pré-nupciais e de nascimentos ocorridos antes do casamento. As análises realizadas consideram a divisão do grupo em três coortes, com início de observação definidos pelas datas (I) 1866-1894, (II) 1895-1919, e (III) 1920-1939. De um subgrupo para outro verificou-se uma diminuição das frequências de nascimentos oriundos de concepções pré-nupciais. À hipótese de uma diminuição das referidas frequências em função da queda da fecundidade de uma coorte para outra, preferiu-se salientar a explicação das mudanças dos referidos comportamentos considerando o processo de inserção do grupo na cidade que se urbaniza, o que envolve fenômenos de contatos culturais. Com isso, não se nega que parte das mudanças comportamentais também poderiam ser explicadas, pelo menos parcialmente, pela crescente adoção da anticoncepção.
				","
									Artigos originais
						","
		Sexualidade, casamento e reprodução
	"
1021,"
								Altiva Pilatti Balhana
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/576,,"
									Resenha
						","
		Naissance d´une population
	"
1022,"
								Mary Garcia Castro
							","
				v. 5 n. 2 (1988)
			",https://rebep.org.br/revista/article/view/577,,"
									Resenha
						","
		Muchachas no more: household workers in Latin America and the Caribbean
	"
1023,"
								Denise Maldi Meireles
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/578,"
					Este trabalho apresenta o resultado de uma investigação realizada em campo junto a três sociedades indígenas no Brasil, a partir da aplicação do modelo para o estudo comparativo da fecundidade proposto por Kingsley Davis e Judith Blake. Os dados coletados evidenciaram a ocorrência de mudanças nessas sociedades que afetaram favoravelmente a fecundidade. A partir desta constatação, são discutidas outras questões que se referem à organização social e à sua influência sobre a fecundidade.
				","
									Artigos originais
						","
		Sugestões para uma análise comparativa da fecundidade em populações indígenas
	"
1024,"
								Ellen F. Woortmann
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/579,"
					Neste trabalho, analisa-se a categoria cultural Keim, que pode ser traduzida como ""princípio germinativo"". Essa categoria classifica pessoas, através de famílias, definindo-as como casáveis e não casáveis, segundo sejam portadoras de um ""Keim bom"" ou de um ""Keim ruim"". Nas representações do grupo estudado - colonos de origem alemã no Rio Grande do Sul - o Keim corresponde à ""seiva"" da árvore genealógica através da qual as famílias se organizam em Casas-tronco. Essa categoria é fundamental para que se entendam as trocas matrimoniais, isto é, as possibilidades de aliança, assim como a endogamia do grupo. Pelos princípios opostos, Keim forte e Keim fraco, os colonos explicam sua decadência atual assim como a redução generalizada do número de filhos.
				","
									Artigos originais
						","
		Keim e parentesco: reflexões sobre uma categoria cultural de colonos teuto-brasileiros
	"
1025,"
								George Martine
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/580,"
					Esta é a segunda parte de um trabalho visando avaliar as aparentes divergências entre os censos agropecuários e demográficos no que se refere à evolução do emprego na atividade agropecuária. Neste segmento, abordam-se especificamente as tendências observadas durante a década de 70, procurando-se reconciliar ou, pelo menos, entender melhor as eventuais discrepâncias. Para tanto, desagregam-se as informações a nível de categoria ocupacional, classes de atividade econômica, região e lugar de residência dos trabalhadores agrícolas. Conclui-se que as principais discrepâncias entre os dois censos refletem uma captação diferenciada das grandes transformações ocorridas recentemente na estrutura de produção agrícola. Não se trata de que uma ou fonte esteja errada, senão de que as características distintivas de cada fonte foram acentuadas com a modernização. Isso é particularmente notável na captação e dimensionamento do emprego temporário e da participação de mulheres e crianças na atividade agropecuária.
				","
									Artigos originais
						","
		A evolução do emprego no campo - 2ª parte
	"
1026,"
								Alfonso R. Arias
							",,,,,
1027,"
								José Flávio Motta
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/581,"
					Verifica-se neste artigo a importância das relações familiares existentes entre os cativos de Bananal (SP) nas três primeiras décadas do século XIX. Procura-se, ademais, captar os efeitos, sobre a família escrava, da introdução e disseminação da lavoura cafeeira, ocorridas naquela localidade, no período em questão. Conclui-se que a família escrava em Bananal apresenta uma evolução cíclica, a qual acompanha a gênese e o desenvolvimento da cafeicultura. As fontes primárias que embasam a análise são as listas nominativas de habitantes, em especial as de 1801, 1817 e 1829.
				","
									Artigos originais
						","
		A família escrava e a penetração do café em Bananal, 1801-1829
	"
1028,"
								Tania Dauster
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/582,"
					Este artigo tem como objetivos discutir as transformações nas relações e a construção social da definição da família em camadas médias urbanas da zona sul da cidade do Rio de Janeiro.
				","
									Artigos originais
						","
		Código familiar: uma versão sobre o significado da família em camadas médias urbanas
	"
1029,"
								Carlos Eugenio de C. Ferreira
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/583,,"
									Resenha
						","
		Medidas e análise da mortalidade: novas abordagens
	"
1030,"
								Laura Rodriguez Wong
							","
				v. 5 n. 1 (1988)
			",https://rebep.org.br/revista/article/view/584,,"
									Resumo de Pesquisas Concluídas
						","
		O jovem na grande São Paulo
	"
1031,"
								Cheywa Rojza Spindel
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/585,"
					Este texto objetiva fazer uma primeira análise do processo de formação do proletariado feminino do Distrito Industrial da Zona Franca de Manaus. Trata-se de dar início ao registro da história e das estórias destas mulheres, as quais, num curtíssimo prazo de tempo, passam de ""ribeirinhas"" da floresta amazônica a operárias da indústria de eletro-eletrônica e produtoras de TVs, vídeos, computadores, etc. Se considerada a defasagem cultural em termos de níveis de acesso ao desenvolvimento tecnológico, é viável afirmar tratar-se de um salto no tempo equivalente a séculos de civilização. Na análise, procura-se, ao se acompanhar os processo de integração dessas mulheres (adaptação e conflito), apanhar suas trajetórias na fábrica e na família, instituições nas quais atuam cotidianamente. Esta abordagem permitiu identificar a bilateralidade das mudanças no processo de adaptação entre capital e trabalho. Pôde-se, desta forma, apontar situações de ajustes comportamentais nas relações de trabalho tanto por parte das gerências de supervisão das fábricas e das próprias empresas (no que se refere a políticas de benefícios especiais inusitadas na região), quanto das operárias (os efeitos da sujeição a prolongadas jornadas de trabalho atento e imóvel). Quanto à organização familiar, que, na maior parte dos casos, não se apresenta estruturada da forma tradicionalmente conceituada - o casal como base da unidade -, duas regularidades podem ser constatadas: a forte presença -ou inexistência- de um homem (marido, companheiro, amigo) como arrimo de família. A compreensão deste desenho de família, bem como da postura mais independente dessa operária frente ao home, além de outras situações mencionadas no texto, não se esgotam na observação, no relato das operárias e nas informações dos seus empregadores: isto exigiria uma análise aprofundada das raízes de sua herança histórica, cujo registro é praticamente desconhecido.
				","
									Artigos originais
						","
		Formação de um novo proletariado: as operárias do distrito industrial de Manaus
	"
1032,"
								George Martine
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/586,"
					Os resultados dos censos demográficos e dos censos agropecuários aparentemente discrepam quanto à importante questão da evolução do emprego no campo. Apesar da melhoria gradual dos instrumentos de coleta e da abertura de ambas as fontes através do tempo, as divergências sobre o nível e o sentido do emprego agropecuário são particularmente notáveis para a década de 70. Esse trabalho se propõe a analisar a origem, a forma e o significado das diferenças entre os dois censos. Nessa primeira parte faz-se uma comparação detalhada entre seus respectivos conceitos, suas metodologias, suas limitações e seus resultados. A comparação retrocede também até os primeiros censos modernos a fim de avaliar a evolução dos instrumentos censitários e sua importância para a captação e compreensão do emprego no campo. Avaliam-se também as PNADs, o Cadastro do INCRA e os dados periódicos do IEA, como fontes complementares de informação sobre esse fenômeno.
				","
									Artigos originais
						","
		A evolução do emprego no campo
	"
1033,"
								Alfonso R. Arias
							",,,,,
1034,"
								José Marcos Pinto da Cunha
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/587,"
					A partir da utilização de tabulações especiais do Censo Demográfico de 1980, objetiva-se analisar a migração intra-regional no Estado de São Paulo. Salienta-se, num primeiro momento, as principais características migratórias das regiões administrativas do Estado, sendo dada maior ênfase aos volumes e intensidades de emigração e imigração registrada em cada uma delas, na década de 70. A posteriori, com a análise das correntes envolvidas no processo migratório global do Estado de São Paulo, procura-se demonstrar as direções e sentidos desses movimentos, a importância dos diversos fluxos, assim como o resultado líquido dos intercâmbios havidos entre as diferentes regiões administrativas.
				","
									Artigos originais
						","
		A migração nas regiões administrativas da grande São Paulo segundo o censo de 1980
	"
1035,"
								Letícia B. Costa
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/588,,"
									Resenha
						","
		Nuevas fronteras de la demografia
	"
1036,"
								Ivonete Batista Xavier
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/589,,"
									Resumo de Pesquisas Concluídas
						","
		Desemprego, papéis sexuais e fecundidade
	"
1037,"
								Cesar G. Victora
							","
				v. 4 n. 2 (1987)
			",https://rebep.org.br/revista/article/view/590,,"
									Prêmio
						","
		Propriedade da terra e saúde infantil no Rio Grande do Sul: as relações entre produção agrícola, desnutrição e mortalidade
	"
1038,"
								J. Patrick Vaughan
							",,,,,
1039,"
								Paulo Paiva
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/591,,"
									Discurso
						","
		Discurso de abertura do V Encontro Nacional
	"
1040,"
								Neide Patarra
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/592,,"
									Discurso
						","
		Discurso de abertura do V Encontro Nacional
	"
1041,"
								Elza Berquó
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/593,,"
									Discurso
						","
		Discurso de abertura do V Encontro Nacional
	"
1042,"
								Axel Mundigo
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/594,,"
									Discurso
						","
		Discurso de abertura do V Encontro Nacional
	"
1043,"
								José Alberto Magno de Carvalho
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/595,,"
									Discurso
						","
		Discurso de abertura do V Encontro Nacional
	"
1044,"
								Eramis Bueno
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/596,,"
									Mesa
						","
		Política de população em Cuba
	"
1045,"
								Raul Benitez Zenteno
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/597,,"
									Mesa
						","
		E agora o que fazemos
	"
1046,"
								ABEP _abep
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/598,,"
									Debate
						","
		Debates
	"
1047,"
								Ansley J. Coale
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/599,,"
									Painel
						","
		As implicações sociais da fecundidade abaixo do nível de substituição
	"
1048,"
								Mercedes Concepción
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/600,,"
									Painel
						","
		Políticas de população em alguns países asiáticos
	"
1049,"
								Axel Mundigo
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/601,,"
									Painel
						","
		Os casos de China e Brasil
	"
1050,"
								Carmen A. Miró
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/602,,"
									Painel
						","
		Políticas de população na América Latina em meados de 1985: um panorama confuso
	"
1051,"
								Elza Berquó
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/603,,"
									Painel
						","
		Sobre a política de planejamento familiar no Brasil
	"
1052,"
								Carlos Eugenio de C. Ferreira
							","
				v. 4 n. 1 (1987)
			",https://rebep.org.br/revista/article/view/604,,"
									Prêmio
						","
		As dimensões da mortalidade infantil em São Paulo
	"
1053,"
								Luis Patricio Ortiz Flores
							",,,,,
1054,"
								Alain Bideau
							","
				v. 3 n. 2 (1986)
			",https://rebep.org.br/revista/article/view/605,"
					Foi sempre difícil medir a mortalidade dos adultos no passado. Porém, os registros de casamentos mencionam desde longa data os nomes dos pais dos noivos, indicando se eles se encontram vivos ou falecidos por ocasião do matrimônio dos filhos. Assim, a partir da informação sobre a incidência de orfandade segundo a idade dos nubentes ao casar, é possível estudar as relações entre mortalidade dos adultos e a proporção de órfãos no momento do casamento. O presente artigo considera a mortalidade dos adultos a partir dos dados sobre os noivos órfãos na França no período de 1740 a 1829. A análise ressalta a importância da qualidade dos dados e dos métodos indiretos empregados para a obtenção de resultados representativos.
				","
									Artigos originais
						","
		Os órfãos e a mortalidade dos adultos: o exemplo francês de 1740 a 1829
	"
1055,"
								Ana Amélia Camarano
							","
				v. 3 n. 2 (1986)
			",https://rebep.org.br/revista/article/view/606,"
					O objetivo do trabalho é, a partir da vinculação entre a dinâmica migratória e econômica, tentar entender os processos gerais que determinam a evolução diferenciada do crescimento populacional nas três regiões metropolitanas nordestinas (Fortaleza, Recife e Salvador). A Região Metropolitana do Recife vem perdendo o seu poder de atração frente às outras duas áreas pelo seu menor dinamismo econômico. Enquanto Salvador vem apresentando uma expansão mais acentuada do seu setor industrial, a Região Metropolitana de Fortaleza foi a que apresentou as maiores taxas líquidas de migração. Os resultados encontrados chamam a atenção para o fato de que a associação entre a dinâmica migratória e a econômica não é tão direta como parece à primeira vista. Para a compreensão deste processo outros fatores devem ser considerados além dos tradicionais fatores de expulsão e atração.
				","
									Artigos originais
						","
		Migração e estrutura produtiva: o caso das regiões metropolitanas nordestinas
	"
1056,"
								Ralph Hakkert
							","
				v. 3 n. 2 (1986)
			",https://rebep.org.br/revista/article/view/607,"
					Embora a relação empírica entre a mortalidade infanto-juvenil e o nível de instrução do pai e, principalmente, da mãe da criança tenha sido estabelecida repetidamente, em análises censitárias bem como na Pesquisa Mundial de Fecundidade, os mecanismos subjacentes a esta relação ainda foram pouco explorados. Parte da associação vem por conta do papel da educação dentro do sistema de estratificação social. Porém, seu efeito tende a ser mais forte e consistente do que a influência de indicadores mais ortodoxos do nível de vida, tais como a renda familiar per capita, o que sugere a existência de outras intermediações, além das econômicas. Procura-se, neste artigo, identificar áreas e possível relevância para o estudo da causalidade envolvida neste processo, através de uma revisão da literatura existente, complementada com análises baseadas no Censo Demográfico de 1970 e na Pesquisa Nacional sobre a Reprodução Humana (PNRH).
				","
									Artigos originais
						","
		Mecanismos subjacentes à relação entre a mortalidade infanto-juvenil e a educação dos pais
	"
1057,"
								Rogelio E. Fernandez
							","
				v. 3 n. 2 (1986)
			",https://rebep.org.br/revista/article/view/608,"
					A ampliação da Técnica dos Filhos Próprios em dados dos Censos Demográficos do Brasil de 1970 e 1980, desagregados a nível de região e situação de domicílio, permitiu gerar estimativas anuais da Taxa de Fecundidade Total entre 1957 e 1979. Até então, contava-se geralmente apenas com estimativas para os anos censitários ou para a média do período intercensitário. As estimativas através da Técnica dos Filhos Próprios confirmou os níveis obtidos, mediante o emprego da Técnica de Fecundidade de Brass, com a vantagem complementar de permitir um detalhamento maior do período inicial da aceleração do declínio da fecundidade, de acordo com cada região e situação domiciliar.
				","
									Artigos originais
						","
		A evolução da fecundidade no Brasil, período 1957-1979. Aplicação da técnica dos filhos próprios para se estimar a fecundidade ano a ano
	"
1058,"
								José Alberto Magno de Carvalho
							",,,,,
1059,"
								Susana Pasternak Taschner
							","
				v. 3 n. 2 (1986)
			",https://rebep.org.br/revista/article/view/609,"
					Utilizando dados censitários, o trabalho apresenta elementos de redistribuição espacial da população brasileira na última década, enfatizando os grandes fluxos migratórios, a contribuição específica de cada registro para o conjunto populacional brasileiro, os diferenciais regionais de crescimento e a crescente concentração populacional. Percebeu-se uma grande mobilidade territorial: mais de 20% da população brasileira mudou de município e mais de 7% mudou de estado de residência na última década. À exceção dos estados do Norte e do núcleo industrial do Sudeste, todos os demais estados brasileiros apresentaram saldos migratórios negativos. Os dados apontam para uma grande mobilidade residencial, urbanização galopante e migrações intensas. Nos últimos anos, além do crescente fenômeno de urbanização, vem se acentuando a metropolização e delineia-se uma rede ""macrometropolitana"" no Sudeste. O trabalho procura comparar os padrões de crescimento da cidade central e das periféricas nas nove regiões metropolitanas brasileiras.
				","
									Artigos originais
						","
		Mobilidade espacial da população brasileira: aspectos e tendências
	"
1060,"
								Lucia Maria Machado Bogus
							",,,,,
1061,"
								George Martine
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/610,"
					Este resumo se propõe a analisar a relação entre as tendências populacionais, a pesquisa demográfica e as políticas de população, dentro do contexto das transformações estruturais vivenciadas pelo Brasil nas últimas décadas. Para tanto, discute-se a evolução das tendências populacionais e das políticas (lato sensu) dirigidas a essa área, em diferentes momentos históricos, como pano de fundo para uma reflexão sobre o papel da pesquisada na formulação de políticas. Embora se disponha de boas informações demográficas desde a década de 40, foi só a partir de 1970 que se multiplicou o número de estudiosos e trabalhos científicos na área populacional. Apesar do grande acervo de estudos, é difícil identificar exemplos concretos da influência da pesquisa sobre a formulação de políticas demográficas. Sugere-se, entretanto, que o grau de aplicação da pesquisa na formulação de políticas não deve constituir índice do êxito do trabalho científico na área social. O avanço real do conhecimento tem contribuído para uma interpretação mais equilibrada da questão demográfica pela sociedade, sem ter necessariamente produzido decreto-leis nem uma homogeneidade de pensamento entre os estudiosos.
				","
									Artigos originais
						","
		Contexto social da política e da pesquisa em população no Brasil
	"
1062,"
								Vilmar Evangelista Faria
							",,,,,
1063,"
								Guaraci Adeodato Alves de Souza
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/611,"
					O trabalho procura mostrar, com informações empíricas para a Bahia, como o processo histórico da proletarização muda de caráter e de patamar de radicalidade em momentos particulares do processo de emergência e desenvolvimento do capitalismo e, nesta medida, produz mudanças significativas nos padrões migratórios. Discute-se, de modo particular, como os fluxos migratórios originados no campo se intensificaram nestes últimos 50 anos na Bahia, alterando os padrões decorrentes de deslocamentos espaciais de população. Ao mesmo tempo, se redefiniam as formas de organização coletiva da produção das classes assalariadas no campo e na cidade, tornando as migrações expressivos mecanismos de mediação na constituição de uma sociedade eminentemente urbana.
				","
									Artigos originais
						","
		Proletário e migrante: livre para a subordinação
	"
1064,"
								Maria Coleta F. A. de Oliveira
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/612,"
					O objetivo deste trabalho é questionar alguns dos pressupostos das interpretações sobre as mudanças a dinâmica populacional brasileira. Dois deles são fundamentais, pela frequência com que aparecem na bibliografia. O primeiro é a afirmação de que a família do passado seria predominantemente grande, resultado de uma fecundidade deliberadamente não controlada. O segundo é a suposição de que a prole numerosa teria sido uma consequência de forma como a produção econômica se encontrava organizada. A discussão torna por base o regime de trabalho do colonato, que se generalizou na cafeicultura do Oeste Paulista desde fins do século XIX até 1930. Examina-se a importância da família na organização do trabalho no café e as evidências sobre o tamanho da família e da força de trabalho nela contida hoje e à época na região. Demonstra-se a fragilidade dos argumentos em uso e sustenta-se a necessidade de pesquisas que possam esclarecer as complexas relações entre as transformações sociais e o comportamento demográfico.
				","
									Artigos originais
						","
		População e força de trabalho: o caso da cafeicultura no oeste paulista
	"
1065,"
								Felícia R Madeira
							",,,,,
1066,"
								Paulo de Tarso A. Paiva
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/613,"
					A população economicamente ativa (PEA) cresce rapidamente no Brasil, seja em razão do crescimento populacional, seja do aumento da participação feminina. Este ritmo de crescimento continuará, pelo menos, até o final deste século. O impacto causado pela recente queda da fecundidade será moderado e afetará apenas as faixas etárias mais jovens. A despeito do rápido crescimento do emprego na indústria de transformação, o tamanho relativo do chamado setor informal tem-se mantido estável desde 1950. Dada a taxa de crescimento da PEA e o declínio do emprego na agricultura, haverá grande pressão por empregos urbanos nos próximos vinte anos.
				","
									Artigos originais
						","
		Cinquenta anos de crescimento populacional e absorção de mão-de-obra no Brasil: de 1950 a 2000
	"
1067,"
								Ivete Ribeiro
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/614,,"
									Resumo de Pesquisas Concluídas
						","
		Sociedade contemporânea, família no Brasil e valores: alterações e permanências
	"
1068,"
								R. Parry Scott
							","
				v. 3 n. 1 (1986)
			",https://rebep.org.br/revista/article/view/615,,"
									Resumo de Pesquisas Concluídas
						","
		Migrações inter-regionais e estratégia doméstica
	"
1069,"
								Ana Maria Canesqui
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/616,"
					O artigo discute no pré e pós 64 as posições do governo brasileiro em face da política demográfica, enfatizando a questão do planejamento familiar e sua inserção na área da saúde pública, através dos programas de saúde materno-infantil. Mostra como as posições assumidas pelos diferentes governos e as práticas institucionais relativas ao planejamento familiar mantiveram estreitos laços com os desdobramentos do modelo econômico e da intervenção do estado na política de saúde.
				","
									Artigos originais
						","
		Planejamento familiar nos planos governamentais
	"
1070,"
								Elza Berquó
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/617,"
					Este trabalho foi preparado a pedido da União Internacional para o Estudo Científico da População (IUSSP) para fazer parte de uma publicação editada em homenagem ao centenário do nascimento de Giorgio Mortara, comemorado durante a XX Conferência Geral da IUSSP, realizada em Florença, em 1985. Tendo passado vinte e oito anos de sua vida no Brasil, no período de 1939-67, deixou Mortara uma vasta contribuição sobre a demografia da população brasileira, cujos aspectos mais significativos aqui se tratou salientar. Acreditamos que desta forma os estudiosos de população no Brasil se associaram à justa homenagem ao Prof. Mortara.
				","
									Artigos originais
						","
		Redescobrindo o Brasil: viagem à demografia de Giorgio Mortara
	"
1071,"
								Alicia M. Bercovich
							",,,,,
1072,"
								Geraldo Muller
							","
				v. 2 n. 2 (1985)
			",https://rebep.org.br/revista/article/view/618,"
					O estudo do trabalho na máquina agrária paulista nos anos 70 é mais adequadamente analisado se a sociabilidade criada na agricultura for encarada como um conjunto de relações sociais, não a ela adstrita, mas como algo constituído pelo avanço da industrialização no campo e pela atuação das agroindústrias. As formas, os volumes e as mudanças do trabalho são vistos neste ensaio como processos integrantes da construção do complexo agroindustrial paulista, e a agricultura como um momento desse complexo. A perspectiva histórica permite que se fale de um movimento que vai da quebra do complexo cafeeiro até o predomínio do complexo agroindustrial, distinguindo-se aí três períodos: 1920-50, marcado pela quebra do complexo cafeeiro e modernização restringida com aumento de mão de- obra; 1950-65, caracterizada pela modernização restringida, mas multiplicada, com aumento de mão -de- obra, e 1965-80, período singularizado pela modernização de uma nova sociabilidade. Antecedem a análise algumas observações sobre a produção das estatísticas pertinentes à população ocupada e suas diversas categorias.
				","
									Artigos originais
						","
		SP 80: o trabalho na máquina agrária paulista nos 70
	"
