,autor,edicao,link,paginas,tipo_trabalho,titulo
322,"
			Weber Soares
		",,,"
				101-116
			",,"
			Análise de redes sociais e os fundamentos teóricos da migração internacional
					"
323,"
			Alberto Augusto Eichman Jakob
		",,,"
				117-136
			",,"
			A dinâmica intra-urbana do Município de Santos vista sob o prisma dos Censos Demográficos de 1991 e 2000
					"
324,"
			David José Ahouagi Vaz de Magalhães, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				137-156
			",,"
			Uma abordagem multinível para análise da mobilidade residencial na Região Metropolitana de Belo Horizonte
					"
325,"
			Carmen Siqueira Ribeiro dos Santos Nogueira
		","
									v. 21 n. 1 (2004)
							",https://rebep.org.br/revista/issue/view/34,"
				157-160
			","
					Notas de pesquisa
				","
			Trabalho infantil e famílias em regiões metropolitanas brasileiras
					"
326,"
			Elisabete Dória Bilac
		","
									v. 21 n. 1 (2004)
							",https://rebep.org.br/revista/issue/view/34,"
				161-166
			","
					Resenha
				","
			Plus ça change…
					"
327,"
			Elisabete Dória Bilac
		","
									v. 21 n. 2 (2004)
							",https://rebep.org.br/revista/issue/view/35,"
				171
			","
					Editorial
				","
			Nota da Editora
					"
328,"
			Francisco Vidal Luna, Herbert S. Klein
		","
									v. 21 n. 2 (2004)
							",https://rebep.org.br/revista/issue/view/35,"
				173-193
			","
					Artigos originais
				","
			Economia e sociedade escravista: Minas Gerais e São Paulo em 1830
					"
329,"
			Lilia Montali
		",,,"
				195-216
			",,"
			Rearranjos familiares de inserção, precarização do trabalho e empobrecimento
					"
330,"
			Teresa Sales, Márcia Loureiro
		",,,"
				217-239
			",,"
			Imigrantes brasileiros adolescentes e de segunda geração em Massachusetts, EUA
					"
331,"
			Eduardo Magalhães Ribeiro, Flávia Maria Galizoni, Thiago de Paula Assis
		",,,"
				241-258
			",,"
			Os caminhos de São Paulo: migrações e trabalho urbano de agricultores mineiros
					"
332,"
			Ricardo Alexandrino Garcia, Mauro Borges Lemos, José Alberto Magno de Carvalho
		",,,"
				259-281
			",,"
			As transformações das áreas de influência migratória dos pólos econômicos brasileiros nos períodos 1980-1991 e 1991-2000
					"
333,"
			Ernesto Friedrich de Lima Amaral, Roberto do Nascimento Rodrigues, Moema Gonçalves Bueno Fígoli
		",,,"
				283-301
			",,"
			Métodos e técnicas de mensuração de movimentos migratórios: Goiás e Distrito Federal, 1975-1979 e 1986-1990
					"
334,"
			Marcelo Côrtes Neri, Wagner Lopes Soares
		",,,"
				303-321
			",,"
			Idade, incapacidade e o número de pessoas com deficiência
					"
335,"
			Nelson Otávio Beltrão Campos, Roberto do Nascimento Rodrigues
		",,,"
				323-342
			",,"
			Ritmo de declínio nas taxas de mortalidade dos idosos nos estados do Sudeste, 1980-2000
					"
336,"
			José Marcos Pinto da Cunha
		","
									v. 21 n. 2 (2004)
							",https://rebep.org.br/revista/issue/view/35,"
				343-347
			","
					Notas de pesquisa
				","
			Um sentido para a vulnerabilidade sociodemográfica nas metrópoles paulistas
					"
337,"
			Dora Isabel Paiva da Costa
		","
									v. 21 n. 2 (2004)
							",https://rebep.org.br/revista/issue/view/35,"
				349-351
			","
					Resenha
				","
			As outras faces da família brasileira
					"
338,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 22 n. 1 (2005)
							",https://rebep.org.br/revista/issue/view/36,"
				3-4
			","
					Editorial
				","
			Nota do Editor
					"
339,"
			Mary Garcia Castro
		","
									v. 22 n. 1 (2005)
							",https://rebep.org.br/revista/issue/view/36,"
				5-28
			","
					Artigos originais
				","
			Estranhamentos e identidades Direitos humanos, cidadania e o sujeito migrante Representações em textos diversos
					"
340,"
			Eduardo Marandola Jr., Daniel Joseph Hogan
		",,,"
				29-53
			",,"
			Vulnerabilidades e riscos: entre geografia e demografia
					"
341,"
			Maria Célia Silva Caiado
		",,,"
				55-88
			",,"
			Estruturação intra-urbana na região do Distrito Federal e entorno: a mobilidade e a segregação socioespacial da população
					"
342,"
			Gustavo Henrique Naves Givisiez, Diana Oya Sawyer
		",,,"
				89-112
			",,"
			Estimativas de indicadores de escolarização com base na compatibilização de diferentes fontes de dados
					"
343,"
			Marisa Alves Lacerda, Paula Miranda-Ribeiro, André Junqueira Caetano, Carla Jorge Machado
		",,,"
				113-129
			",,"
			Mensuração e perfis de demanda insatisfeita por contracepção nos municípios de Belo Horizonte e Recife, 2002
					"
344,"
			Cláudia Júlia Guimarães Horta, José Alberto Magno de Carvalho, Olinto José Oliveira Nogueira
		",,,"
				131-140
			",,"
			Evolução do comportamento reprodutivo da mulher brasileira – 1991-2000 Cálculo da Taxa de Fecundidade Total em nível municipal
					"
345,"
			Lára de Melo Barbosa, Geraldo Henrique Nascimento de Melo
		",,,"
				141-158
			",,"
			Avaliação da qualidade das informações sobre fecundidade provenientes do SINASC no Nordeste, 2000
					"
346,"
			Ricardo Alexandrino Garcia, Adriana de Miranda-Ribeiro
		",,,"
				159-175
			",,"
			Movimentos migratórios em Minas Gerais: efeitos diretos e indiretos da migração de retorno – 1970-1980, 1981-1991 e 1990-2000
					"
347,"
			Sonia Corrêa, José Eustáquio Diniz Alves
		","
									v. 22 n. 1 (2005)
							",https://rebep.org.br/revista/issue/view/36,"
				177-189
			","
					Ponto de Vista
				","
			As Metas de Desenvolvimento do Milênio: grandes limites, oportunidades estreitas?
					"
348,"
			Cássio Maldonado Turra, Bernardo Lanza Queiroz
		","
									v. 22 n. 1 (2005)
							",https://rebep.org.br/revista/issue/view/36,"
				191-194
			","
					Notas de pesquisa
				","
			Transferências intergeracionais: uma análise internacional
					"
349,"
			Eliane Cristina Deckmann Fleck, Ana Paula Korndörfer, Aline Kassick Cadaviz
		",,,"
				195-199
			",,"
			Da agressão à assistência, da infração à correção: menoridade e violência urbana (Porto Alegre, 1890-1920)
					"
350,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 22 n. 1 (2005)
							",https://rebep.org.br/revista/issue/view/36,"
				201-204
			","
					Resenha
				","
			Construindo a demografia dos povos indígenas
					"
351,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 22 n. 2 (2005)
							",https://rebep.org.br/revista/issue/view/37,"
				211-212
			","
					Editorial
				","
			Nota do Editor
					"
352,"
			Neide Lopes Patarra, Elisabete Dória Bilac
		","
									v. 22 n. 2 (2005)
							",https://rebep.org.br/revista/issue/view/37,"
				213-231
			","
					Artigos originais
				","
			Revista Brasileira de Estudos de População: do nascimento à pós-maioridade
					"
353,"
			Elza Berquó, Maria Isabel Baltar da Rocha
		",,,"
				233-246
			",,"
			A Abep no contexto político e no desenvolvimento da demografia nas décadas de 1960 e 1970
					"
354,"
			Maria Coleta Ferreira Albino de Oliveira, Ricardo Antônio Wanderley Tavares
		",,,"
				247-255
			",,"
			Registros e memória: algumas observações sobre a demografia brasileira no contexto latino-americano
					"
355,"
			George Martine
		",,,"
				257-275
			",,"
			O papel dos organismos internacionais na evolução dos estudos populacionais no Brasil: notas preliminares
					"
356,"
			Diana Oya Sawyer, Duval Magalhães Fernandes
		",,,"
				277-289
			",,"
			O ensino da demografia e a formação de demógrafos no Brasil
					"
357,"
			Luiz Antonio Pinto de Oliveira, Celso Cardoso da Silva Simões
		",,,"
				291-302
			",,"
			O IBGE e as pesquisas populacionais
					"
358,"
			Paulo de Tarso Almeida Paiva, Simone Wajnman
		",,,"
				303-322
			",,"
			Das causas às conseqüências econômicas da transição demográfica no Brasil
					"
359,"
			Daniel Joseph Hogan
		",,,"
				323-338
			",,"
			Mobilidade populacional, sustentabilidade ambiental e vulnerabilidade social
					"
360,"
			Carlos de Almeida Prado Bacellar, Ana Silvia Volpi Scott, Maria Silvia Casagrande Beozzo Bassanezi
		",,,"
				339-350
			",,"
			Quarenta anos de demografia histórica
					"
361,"
			José Alberto Magno de Carvalho, Fausto Brito
		",,,"
				351-369
			",,"
			A demografia brasileira e o declínio da fecundidade no Brasil: contribuições, equívocos e silêncios
					"
362,"
			Eduardo Luiz Gonçalvez Rios-Neto
		",,,"
				371-408
			",,"
			Questões emergentes na análise demográfica: o caso brasileiro
					"
363,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 23 n. 1 (2006)
							",https://rebep.org.br/revista/issue/view/38,"
				3-4
			","
					Editorial
				","
			Nota do Editor
					"
364,"
			Laura L. Rodríguez Wong, José Alberto Carvalho
		","
									v. 23 n. 1 (2006)
							",https://rebep.org.br/revista/issue/view/38,"
				5-26
			","
					Artigos originais
				","
			O rápido processo de envelhecimento populacional do Brasil: sérios desafios para as políticas públicas
					"
365,"
			Haroldo da Gama Torres
		",,,"
				27-42
			",,"
			Demografia urbana e políticas sociais
					"
366,"
			Humberto Prates da Fonseca Alves
		",,,"
				43-59
			",,"
			Vulnerabilidade socioambiental na metrópole paulistana: uma análise sociodemográfica das situações de sobreposição espacial de problemas e riscos sociais e ambientais
					"
367,"
			Kaizô Iwakami Beltrão, Sonoe Sugahara
		",,,"
				61-85
			",,"
			Permanentemente temporário: dekasseguis brasileiros no Japão
					"
368,"
			José Marcos Pinto da Cunha
		",,,"
				87-107
			",,"
			Dinâmica migratória e o processo de ocupação do Centro-Oeste brasileiro: o caso de Mato Grosso
					"
369,"
			Elzira Lúcia de Oliveira, Eduardo Luiz Gonçalves Rios-Neto, Ana Maria Hermeto Camilo de Oliveira
		",,,"
				109-127
			",,"
			Transições dos jovens para o mercado de trabalho, primeiro filho e saída da escola: o caso brasileiro
					"
370,"
			Moema Gonçalves Bueno Fígoli
		",,,"
				129-150
			",,"
			Evolução da educação no Brasil: uma análise das taxas entre 1970 e 2000 segundo o grau da última série concluída
					"
371,"
			Andréa Branco Simão, Paula Miranda-Ribeiro, André Junqueira Caetano, André Junqueira Caetano, Cibele Comini César, Cibele Comini César
		",,,"
				151-166
			",,"
			Comparando as idades à primeira relação sexual, à primeira união e ao nascimento do primeiro filho de duas coortes de mulheres brancas e negras em Belo Horizonte: evidências quantitativas
					"
372,"
			Cacilda Machado
		",,,"
				167-186
			",,"
			O patriarcalismo possível: relações de poder em uma região do Brasil escravista em que o trabalho familiar era a norma
					"
373,"
			Bernadette Cunha Waldvogel
		","
									v. 23 n. 1 (2006)
							",https://rebep.org.br/revista/issue/view/38,"
				187-190
			","
					Notas de pesquisa
				","
			Pesquisa pioneira recupera casos de Aids no Estado de São Paulo: integração das bases do Sinan-Aids e da Fundação Seade
					"
374,"
			José Marcos Pinto da Cunha, Sylvain Souchaud, Rosana Baeninger, Roberto Luiz do Carmo
		",,,"
				191-193
			",,"
			Espaços migratórios e problemática ambiental no Mercosul
					"
375,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 23 n. 2 (2006)
							",https://rebep.org.br/revista/issue/view/39,"
				203-204
			","
					Editorial
				","
			Nota do Editor
					"
376,"
			Ângela Borges
		","
									v. 23 n. 2 (2006)
							",https://rebep.org.br/revista/issue/view/39,"
				205-222
			","
					Artigos originais
				","
			Impactos do desemprego e da precarização sobre famílias metropolitanas
					"
377,"
			Lilia Montali
		",,,"
				223-245
			",,"
			Provedoras e co-provedoras: mulheres-cônjuge e mulheres-chefe de família sob a precarização do trabalho e o desemprego
					"
378,"
			Anita Kon
		",,,"
				247-267
			",,"
			Mudanças recentes no perfil da distribuição ocupacional da população brasileira
					"
379,"
			Elisenda Rentería Pérez, Simone Wajnman, Ana Maria Hermeto Camilo de Oliveira
		",,,"
				269-286
			",,"
			Análise dos determinantes da participação no mercado de trabalho dos idosos em São Paulo
					"
380,"
			Enrico Moreira Martignoni, Luiz Marcelo Carvano, Paulo de Martino Jannuzzi
		",,,"
				287-299
			",,"
			Força de trabalho e desemprego na Região Metropolitana do Rio de Janeiro nos anos 1990: o efeito dos fatores demográficos
					"
381,"
			Raul Luís Assumpção Bastos
		",,,"
				301-315
			",,"
			Crescimento populacional, ocupação e desemprego dos jovens: a experiência recente da Região Metropolitana de Porto Alegre
					"
382,"
			Cláudio Salvadori Dedecca, Eliane Navarro Rosandiski, Carolina Veríssimo Barbieri, Adriana Jungbluth
		",,,"
				317-329
			",,"
			Salário mínimo, benefício previdenciário e as famílias de baixa renda
					"
383,"
			Cristina Bruschini
		",,,"
				331-353
			",,"
			Trabalho doméstico: inatividade econômica ou trabalho não-remunerado?
					"
384,"
			Eugenia Troncoso Leone, Paulo Baltar
		",,,"
				355-367
			",,"
			Diferenças de rendimento do trabalho de homens e mulheres com educação superior nas metrópoles
					"
385,"
			Maria Isabel Baltar da Rocha
		","
									v. 23 n. 2 (2006)
							",https://rebep.org.br/revista/issue/view/39,"
				369-374
			","
					Notas de pesquisa
				","
			A discussão política sobre aborto no Brasil: uma síntese
					"
386,"
			Paula Miranda-Ribeiro
		","
									v. 23 n. 2 (2006)
							",https://rebep.org.br/revista/issue/view/39,"
				375-377
			","
					Resenha
				","
			Somos racistas
					"
387,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 24 n. 1 (2007)
							",https://rebep.org.br/revista/issue/view/40,"
				3-4
			","
					Editorial
				","
			Nota do Editor
					"
388,"
			Sergio Odilon Nadalin
		","
									v. 24 n. 1 (2007)
							",https://rebep.org.br/revista/issue/view/40,"
				5-18
			","
					Artigos originais
				","
			Reconstituir famílias e demarcar diferenças: virtualidades da metodologia para o estudo de grupos étnicos
					"
389,"
			Izabel Guimarães Marri, Simone Wajnman
		",,,"
				19-35
			",,"
			Esposas como principais provedoras de renda familiar
					"
390,"
			Mirela Castro Santos Camargos, Carla Jorge Machado, Roberto do Nascimento Rodrigues
		",,,"
				37-51
			",,"
			A relação entre renda e morar sozinho para idosos paulistanos – 2000
					"
391,"
			Cezar Augusto Cerqueira, Diana Reiko Oya Tutya Sawyer
		",,,"
				53-67
			",,"
			Tipologia dos estabelecimentos escolares brasileiros
					"
392,"
			Juliana de Lucena Ruas Riani, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				69-90
			",,"
			Análise do dividendo demográfico na matrícula escolar no Brasil numa abordagem hierárquica e hierárquica-espacial
					"
393,"
			Aloísio Joaquim Freitas Ribeiro, Moema Gonçalves Bueno Figoli, Diana Oya Sawyer, Cibele Comini César
		",,,"
				91-108
			",,"
			Tábuas de mortalidade dos aposentados por invalidez pelo Regime Geral da Previdência Social – 1999-2002
					"
394,"
			Paulo de Martino Jannuzzi
		",,,"
				109-137
			",,"
			Cenários futuros e projeções populacionais para pequenas áreas:método e aplicação para distritos paulistanos 2000-2010
					"
395,"
			Rafael Perez Ribas
		",,,"
				139-161
			",,"
			A caracterização da pobreza urbana ao longo do tempo: aplicação do modelo idade-períodocoorte na estimação das tendências de privações crônica e transitória no Brasil
					"
396,"
			Mariângela Leal Cherchiglia, Augusto Afonso Guerra Júnior, Eli Iola Gurgel Andrade, Carla Jorge Machado, Francisco de Assis Acúrcio, Wagner Meira Júnior, Bruno Diniz de Paula, Odilon Vanni de Queiroz
		","
									v. 24 n. 1 (2007)
							",https://rebep.org.br/revista/issue/view/40,"
				163-167
			","
					Notas de pesquisa
				","
			A construção da base de dados nacional em Terapia Renal Substitutiva (TRS) centrada no indivíduo: aplicação do método de linkage determinístico-probabilístico
					"
397,"
			Aída C.G. Verdugo Lazo
		","
									v. 24 n. 1 (2007)
							",https://rebep.org.br/revista/issue/view/40,"
				169-173
			","
					Resenha
				","
			Uma breve síntese do livro pioneiro sobre a transição para a vida adulta no Brasil
					"
398,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 24 n. 2 (2007)
							",https://rebep.org.br/revista/issue/view/41,"
				179-180
			","
					Editorial
				","
			Nota do Editor
					"
399,"
			George Martine
		","
									v. 24 n. 2 (2007)
							",https://rebep.org.br/revista/issue/view/41,"
				181-190
			","
					Artigos originais
				","
			O lugar do espaço na equação população/meio ambiente
					"
400,"
			Eduardo Marandola Jr., Daniel Joseph Hogan
		",,,"
				191-223
			",,"
			Em direção a uma demografia ambiental? Avaliação e tendências dos estudos de população e ambiente no Brasil
					"
401,"
			Alisson Flávio Barbieri
		",,,"
				225-246
			",,"
			Mobilidade populacional, meio ambiente e uso da terra em áreas de fronteira: uma abordagem multiescalar
					"
402,"
			Marcia Caldas de Castro, Burton Herbert Singer
		",,,"
				247-262
			",,"
			Meio ambiente e saúde: metodologia para análise espacial da ocorrência de malária em projetos de assentamento
					"
403,"
			Álvaro de Oliveira D’Antona, Leah Karin VanWey
		",,,"
				263-275
			",,"
			Estratégia para amostragem da população e da paisagem em pesquisas sobre uso e cobertura da terra
					"
404,"
			Ricardo Ojima
		",,,"
				277-300
			",,"
			Dimensões da urbanização dispersa e proposta metodológica para estudos comparativos: uma abordagem socioespacial em aglomerações urbanas brasileiras
					"
405,"
			Humberto Prates da Fonseca Alves
		",,,"
				301-316
			",,"
			Desigualdade ambiental no município de São Paulo: análise da exposição diferenciada de grupos sociais a situações de risco ambiental através do uso de metodologias de geoprocessamento
					"
406,"
			Heloisa Soares de Moura Costa, Mônica Campolina Diniz Peixoto
		",,,"
				317-336
			",,"
			Dinâmica imobiliária e regulação ambiental: uma discussão a partir do eixo-sul da Região Metropolitana de Belo Horizonte
					"
407,"
			Diego Rodrigues Macedo, Antônio Pereira Magalhães Jr
		","
									v. 24 n. 2 (2007)
							",https://rebep.org.br/revista/issue/view/41,"
				337-338
			","
					Notas de pesquisa
				","
			Avaliação dos riscos para ocupação urbana: proposição metodológica baseada em geotecnologias
					"
408,"
			Glauco José de Matos Umbelino
		",,,"
				339-340
			",,"
			Aplicação do Índice de Qualidade de Vida Humana (IQVH) nas regiões metropolitanas do Brasil
					"
409,"
			Paula Miranda-Ribeiro, Andréa Branco Simão, André Junqueira Caetano, Ignez Helena Oliva Perpétuo, Marisa Alves Lacerda, Maria Eponina de Abreu e Torres
		",,,"
				341-344
			",,"
			Acesso à contracepção e ao diagnóstico do câncer de colo uterino em Belo Horizonte: uma contribuição metodológica aos estudos quanti-quali
					"
410,"
			Ricardo Ojima
		","
									v. 24 n. 2 (2007)
							",https://rebep.org.br/revista/issue/view/41,"
				345-347
			","
					Resenha
				","
			As cidades invisíveis: a favela como desafio para urbanização mundial
					"
411,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 25 n. 1 (2008)
							",https://rebep.org.br/revista/issue/view/42,"
				3
			","
					Editorial
				","
			Editorial
					"
412,"
			Fausto Brito
		","
									v. 25 n. 1 (2008)
							",https://rebep.org.br/revista/issue/view/42,"
				5-26
			","
					Artigos originais
				","
			Transição demográfica e desigualdades sociais no Brasil
					"
413,"
			Joice Melo Vieira
		",,,"
				27-48
			",,"
			Transição para a vida adulta no Brasil: análise comparada entre 1970 e 2000
					"
414,"
			Maria Eponina de Abreu e Torres, Paula Miranda-Ribeiro, Carla Jorge Machado
		",,,"
				49-69
			",,"
			“Vai lá, tira a roupa... e... pronto...”: o acesso a consultas ginecológicas em Belo Horizonte, MG
					"
415,"
			Maria Luiza Andreazza
		",,,"
				71-89
			",,"
			Sobre regimes demográficos restritos: comportamento reprodutivo e cultura familiar entre os ucranianos no meio rural paranaense (1895-1980)
					"
416,"
			Maria Carolina Tomás, Ana Maria Hermeto C. de Oliveira, Eduardo Luiz G. Rios-Neto
		",,,"
				91-107
			",,"
			Adiamento do ingresso no mercado de trabalho sob o enfoque demográfico: uma análise das regiões metropolitanas brasileiras
					"
417,"
			André Braz Golgher
		",,,"
				109-129
			",,"
			As cidades e a classe criativa no Brasil: diferenças espaciais na distribuição de indivíduos qualificados nos municípios brasileiros
					"
418,"
			Cristiano Stamm, Jefferson Andronio Ramundo Staduto
		",,,"
				131-149
			",,"
			Movimentos pendulares das cidades interioranas de porte médio de Cascavel e Toledo, no Paraná
					"
419,"
			Erika Masanet Ripoll
		",,,"
				151-165
			",,"
			O Brasil e a Espanha na dinâmica das migrações internacionais: um breve panorama da situação dos emigrantes brasileiros na Espanha
					"
420,"
			Luiz Antonio de Castro Santos, Lina Faria, Ricardo Fernandes de Menezes
		",,,"
				167-190
			",,"
			Contrapontos da história da hanseníase no Brasil: cenários de estigma e confinamento
					"
421,"
			Eliane de Freitas Drumond, Carla Jorge Machado
		","
									v. 25 n. 1 (2008)
							",https://rebep.org.br/revista/issue/view/42,"
				191-194
			","
					Notas de pesquisa
				","
			Linkage entre registros do Sihsus e Sinasc: possíveis vieses decorrentes do não-pareamento
					"
422,"
			Silvana Lopes Nogueira, Júnia Maria Geraldo, Juliana Costa Machado, Rita de Cássia Lanes Ribeiro
		",,,"
				195-198
			",,"
			Distribuição espacial e crescimento da população idosa nas capitais brasileiras de 1980 a 2006: um estudo ecológico
					"
423,"
			Eduardo Marandola Jr.
		","
									v. 25 n. 1 (2008)
							",https://rebep.org.br/revista/issue/view/42,"
				199-200
			","
					Resenha
				","
			Novos significados da mobilidade
					"
424,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 25 n. 2 (2008)
							",https://rebep.org.br/revista/issue/view/43,"
				209-210
			","
					Editorial
				","
			Nota do Editor
					"
425,"
			Lilia Montali, Marcelo Tavares
		","
									v. 25 n. 2 (2008)
							",https://rebep.org.br/revista/issue/view/43,"
				211-231
			","
					Artigos originais
				","
			Família, pobreza e acesso a programas de transferência de renda nas regiões metropolitanas brasileiras
					"
426,"
			Eugenia Troncoso Leone, Paulo Baltar
		",,,"
				233-249
			",,"
			A mulher na recuperação recente do mercado de trabalho brasileiro
					"
427,"
			Juliana de Lucena Ruas Riani, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				251-269
			",,"
			Background familiar versus perfil escolar do município: qual possui maior impacto no resultado educacional dos alunos brasileiros?
					"
428,"
			Sylvain Souchaud, Rosana Baeninger
		",,,"
				271-286
			",,"
			Collas e cambas do outro lado da fronteira: aspectos da distribuição diferenciada da imigração boliviana em Corumbá, Mato Grosso do Sul
					"
429,"
			Gabriela Adriana Sala, José Alberto Magno de Carvalho
		",,,"
				287-304
			",,"
			A presença de imigrantes de países do Cone Sul no Brasil: medidas e reflexões
					"
430,"
			Dimitri Fazito, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				305-323
			",,"
			Emigração internacional de brasileiros para os Estados Unidos: as redes sociais e o papel de intermediação nos deslocamentos exercido pelas agências de turismo
					"
431,"
			André Junqueira Caetano
		",,,"
				325-334
			",,"
			Fecundidade abaixo da reposição, população estacionária por migração e efeitos sobre a estrutura etária
					"
432,"
			Doris Cardona, Enrique Peláez, Tirza Aidar, Bruno Ribotta, María Franci Alvarez
		",,,"
				335-352
			",,"
			Mortalidade por causas externas em três cidades latino-americanas: Córdoba (Argentina), Campinas (Brasil) e Medellín (Colômbia), 1980-2005
					"
433,"
			Vanessa dos Reis de Souza, Suzana Cavenaghi, José Eustáquio Diniz Alves, Mônica de Avelar Figueiredo Mafra Magalhães
		",,,"
				353-364
			",,"
			Análise espacial dos acidentes de trânsito com vítimas fatais: comparação entre o local de residência e de ocorrência do acidente no Rio de Janeiro
					"
434,"
			Ana Paula Franco Viegas-Pereira, Roberto Nascimento Rodrigues, Carla Jorge Machado
		",,,"
				365-376
			",,"
			Fatores associados à prevalência de diabetes auto-referido entre idosos de Minas Gerais
					"
435,"
			Heloisa Pagliaro, Carmen Junqueira, Luciana Garrido dos Santos Mendaña, Sofia Beatriz Mendonça, Roberto Geraldo Baruzzi
		",,,"
				377-388
			",,"
			Dinâmica Demográfica dos Kamaiurá, povo Tupi do Parque Indígena do Xingu, Mato Grosso, Brasil, 1970-1999
					"
436,"
			Maria Stella Ferreira Levy
		","
									v. 25 n. 2 (2008)
							",https://rebep.org.br/revista/issue/view/43,"
				389-399
			","
					Ponto de Vista
				","
			Perspectivas do crescimento das populações indígenas e os direitos constitucionais
					"
437,"
			Marcos Roberto Gonzaga, Bernardo Lanza Queiroz, Carla Jorge Machado
		","
									v. 25 n. 2 (2008)
							",https://rebep.org.br/revista/issue/view/43,"
				401-404
			","
					Notas de pesquisa
				","
			Medindo o processo de compressão da mortalidade no Brasil: uma apresentação dos indicadores
					"
438,"
			Eduardo Marandola Jr.
		","
									v. 25 n. 2 (2008)
							",https://rebep.org.br/revista/issue/view/43,"
				405-406
			","
					Resenha
				","
			A sociedade (e as pessoas) em movimento
					"
439,"
			Iuri da Costa Leite, Carla Jorge Machado
		","
									v. 26 n. 1 (2009)
							",https://rebep.org.br/revista/issue/view/44,"
				3-5
			","
					Editorial
				","
			Editorial: escrever, submeter e publicar na Rebep, a nossa revista indexada
					"
440,"
			Eliane de Freitas Drumond, Carla Jorge Machado, Maria do Rosário Vasconcelos, Elisabeth França
		","
									v. 26 n. 1 (2009)
							",https://rebep.org.br/revista/issue/view/44,"
				7-19
			","
					Artigos originais
				","
			Utilização de dados secundários do SIM, Sinasc e SIH na produção científica brasileira de 1990 a 2006
					"
441,"
			Adriana de Miranda-Ribeiro, Eduardo L. G. Rios-Neto, José Alberto Magno de Carvalho
		",,,"
				21-35
			",,"
			Reconstrução de histórias de nascimentos a partir de dados censitários: uma análise comparativa de duas metodologias
					"
442,"
			Marina Machado, Heloísa Pagliaro, Roberto G. Baruzzi
		",,,"
				37-50
			",,"
			Perfil demográfico dos Hupd’äh, povo Maku da região do Alto Rio Negro, Amazonas (2000-2003)
					"
443,"
			João Luiz Pena, Leo Heller, Cláudio Santiago Dias Júnior
		",,,"
				51-59
			",,"
			A população Xakriabá, Minas Gerais: aspectos demográficos, políticos, sociais e econômicos
					"
444,"
			Laura L. Rodríguez Wong, Maria Graciela González de Morell, Regiane Lucinda de Carvalho
		",,,"
				61-75
			",,"
			Notas sobre o comportamento reprodutivo da população autodeclarada indígena – Censos Demográficos 1991 e 2000
					"
445,"
			Leonardo H. G. Fígoli, Dimitri Fazito
		",,,"
				77-95
			",,"
			Redes sociais em uma investigação de migração indígena: o caso de Manaus
					"
446,"
			Natalia Nunes Ferreira Batista, Maria Cristina Cacciamali
		",,,"
				97-115
			",,"
			Diferencial de salários entre homens e mulheres segundo a condição de migração
					"
447,"
			Maria Stella Ferreira Levy
		",,,"
				117-133
			",,"
			A escolha do cônjuge
					"
448,"
			Maria Cecília de Souza Minayo
		","
									v. 26 n. 1 (2009)
							",https://rebep.org.br/revista/issue/view/44,"
				135-140
			","
					Ponto de Vista
				","
			Seis características das mortes violentas no Brasil
					"
449,"
			Renata Jardim, Sandhi Maria Barreto, Luana Giatti Gonçalves
		","
									v. 26 n. 1 (2009)
							",https://rebep.org.br/revista/issue/view/44,"
				141-144
			","
					Notas de pesquisa
				","
			Confiabilidade do informante secundário em inquéritos de saúde
					"
450,"
			André Junqueira Caetano, Carla Jorge Machado
		",,,"
				145-149
			",,"
			Consistência e identificabilidade no modelo Grade of Membership: uma nota metodológica
					"
451,"
			Eduardo Marandola Jr.
		","
									v. 26 n. 1 (2009)
							",https://rebep.org.br/revista/issue/view/44,"
				151-152
			","
					Resenha
				","
			Por um paradigma da(s) mobilidade(s)
					"
452,"
			Rosana Baeninger
		","
									v. 26 n. 2 (2009)
							",https://rebep.org.br/revista/issue/view/45,"
				159-160
			","
					Editorial
				","
			Editorial
					"
453,"
			Eduardo Marandola Jr., Daniel Joseph Hogan
		","
									v. 26 n. 2 (2009)
							",https://rebep.org.br/revista/issue/view/45,"
				161-181
			","
					Artigos originais
				","
			Vulnerabilidade do lugar vs. vulnerabilidade sociodemográfica: implicações metodológicas de uma velha questão
					"
454,"
			Nilza de Oliveira Martins Pereira, José André Moura de Brito, Sonia Albieri, Antonio José Ribeiro Dias, Ricardo Ventura Santos
		",,,"
				183-195
			",,"
			Como tratar os dados da amostra do Censo Demográfico 2000 na obtenção de estimativas para os “indígenas”? Um estudo a partir das Terras Indígenas Xavante, Mato Grosso
					"
455,"
			Oswaldo Mário Serra Truzzi, Maria Silvia Beozzo Bassanezi
		",,,"
				197-218
			",,"
			População, grupos étnico-raciais e economia cafeeira: São Carlos, 1907
					"
